SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
192.168.20.144,1.1.1.1,39842,443,2020-03-31 22:06:06,121.814515,18404,151.0821596260511319197059562,34757,285.3272452794316013982405955,32623.262672953642,180.61910937925046,132.24129353233832,87.0,87,0.7514369939231188,0.25047899797437295,1.3658298747288178,351.6407689559089874260538100,18.75208705600283275908800266,36.03133622885572139303482587,36.717094,0.0,-0.1097090317087809621375572484,1.9214573887828414,0.5204382911834729689106165790,0.4540130465774720363590455757,0.6738049024587696158884400749,0.2005966179775280898876404494,0.014207,1.1e-05,0.8298675950443979284765419744,0.29769094473129337,3.359004300532389128300423735,True
192.168.20.144,1.1.1.1,40152,443,2020-03-31 22:07:07,122.411594,25017,204.3678967206325243996087495,45622,372.6934558175919186216952620,25663.89327325226,160.19954205069456,127.7377938517179,87.0,87,0.7628822154590161,0.25429407181967206,1.2541279853060505,411.4674996347109327586827072,20.28466168400919948551513201,30.35014452802893309222423146,30.954688,0.0,-0.08940895560229735044445315110,1.4962115218295482,0.6683546981226376161063087561,0.4142225384359339017780421707,0.6436012262542186158867067370,0.1769173008130081300813008130,0.010829,3.8e-05,0.7741826493074653476397431821,0.27482747639008054,3.637864828915006807372629785,True
1.1.1.1,192.168.20.144,443,39842,2020-03-31 22:08:08,120.817310,496,4.105371986845262487635256902,448,3.708077923602172569477006234,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1254.609936569633859375,35.42047340973344273936581678,60.408550125,60.408447,0.0,0.000008734355309745370391557715739,1.7054698684066687,0.5863486764115321123901219733,1.903050E-8,0.0001379510782850210272324331312,15.0889805,15.0890035,15.088763,-0.5001773154497491331829371829,1.576645885655075,0.000009142504908467542073663169702,True
192.168.20.144,1.1.1.1,40168,443,2020-03-31 22:08:09,107.139873,22760,212.4325833389778238770172894,41484,387.1947841491281215164404759,25769.97518266566,160.53029366031092,127.46825396825396,87.0,87,0.7562732188209886,0.25209107294032956,1.259374696544373,326.9765396263706411210317435,18.08249262757683640253639140,29.39000079166666666666666667,27.842430,0.0,0.2567517913940469607972197374,1.625329062589813,0.6152600251955081021694162588,0.3906916546866198979591836743,0.6250533214747521825692323931,0.1651920714285714285714285714,0.0091815,1.7e-05,0.7487868605856524828736709704,0.26425756932041733,3.783797346139723307357475867,True
1.1.1.1,192.168.20.144,443,40152,2020-03-31 22:09:10,120.817015,496,4.105382010969233100155636191,448,3.708086977649629896914768172,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1254.606675666194625,35.42042737836733986631719774,60.408522,60.4084965,0.0,0.000002159770665181798025581584869,1.705471290752801,0.5863481874025545578870014026,1.80875E-9,0.00004252940159466154539041881208,15.0890225,15.089008,15.08898,1.022821821350533365298254776,0.9993086760569504,0.000002818565721845901243133464217,True
192.168.20.144,1.1.1.1,40202,443,2020-03-31 22:09:11,107.221847,25615,238.8972090734456383688298151,46248,431.3300068408633177154652074,24356.74660165485,156.06648135219442,127.41666666666667,87.0,87,0.7769124987599084,0.2589708329199695,1.2248513905993021,394.3331320504441450505507768,19.85782294337534234855953048,28.44586337234042553191489362,27.8550655,0.0,0.08925417565033507126669616794,1.4324764327617339,0.6980917641151389162495632853,0.3904245641806028994082840236,0.6248396307698503364900322368,0.1659415307692307692307692308,0.007519,1.4e-05,0.7606233166134583868428326577,0.26555218747056,3.765420433771901944874290095,True
1.1.1.1,192.168.20.144,443,39842,2020-03-31 22:10:08,120.816633,496,4.105394991433009062584950534,448,3.708098701939492056528342418,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1254.60260956468746484375,35.42036998062961319247283576,60.4082016875,60.4083415,0.0,-0.00001184170295876012494423470200,1.7054650112501792,0.5863503463298592535588768641,2.0656609375E-8,0.0001437240737489722004992185369,15.088937125,15.088952,15.08865,-0.3104907816483257890564446620,1.9977516118929655,0.000009525129076907874019603520410,True
192.168.20.144,1.1.1.1,40168,443,2020-03-31 22:10:11,105.743013,448,4.236686541171282872372853609,496,4.690617242011063180127087924,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1197.69408351083799609375,34.60771710920611989759066420,52.8716175625,52.871507,0.0,0.000009584206289982838763183700110,1.5277406884615177,0.6545613450977934584463691327,2.61456109375E-7,0.0005113277905365598256571421177,0.015225875,0.015042,0.014975,1.078808956229729767920520678,0.49063439273806075,0.03358281809988324649040807952,True
192.168.20.144,1.1.1.1,40226,443,2020-03-31 22:10:13,107.313052,25467,237.3150285577564227695248105,45917,427.8789871711038467156818911,23647.026573226456,153.77589724409498,125.89770723104057,87.0,87,0.7588518342890225,0.2529506114296742,1.2214352479183268,396.2288093092820388629159958,19.90549696212787446172828800,30.61044307231040564373897707,30.967926,0.0,-0.05387701623874149896403945351,1.5377884375632382,0.6502845096069187168644413203,0.4086406307622081964163928331,0.6392500533924171651671349972,0.1712653385826771653543307087,0.010672,1.3e-05,0.7536644122144181408999509112,0.2678956969559302,3.732512712044320599560811548,True
1.1.1.1,192.168.20.144,443,40152,2020-03-31 22:11:10,120.816668,496,4.105393802120084953840971678,448,3.708097627721367055082167967,9.0,3.0,59.0,59.0,56,0.0,1.0,0.05084745762711865,1254.59476472177671484375,35.42025924131240339902757297,60.4083023125,60.408200,0.0,0.000008665591573141384161275962311,1.7054731841725994,0.5863475364376041932494024179,9.9505734375E-8,0.0003154452953762347681528225032,15.088971625,15.088995,15.088247,-0.2223047895400094937163431999,2.2971494919082605,0.00002090568550434495022471900919,True
